527	1511119567317352450	Sou apaixonada no meu filho, que criança perfeita 🥰🥰🥰 	1
2300	1511045310356852739	Os fios da minha escola começaram a pegar fogo, todo mundo preso agora. E o medo de morrer eletrocutada???? 	0
206	1511114376299913221	Desci na parada errada no meio de Camaragibe véi... a falta q Lisane faz boy 	0
2810	1511114926324170758	a minha melhor decisão foi ter parado de acompanhar o bbb 	0
2455	1511038692391014401	Vou para de anda com muie juro kkkk não dá é tudo igual 	0
2216	1511040210112589827	Parasitas não tem direitos, pronto acabou, é a mesma coisa de dar direitos a pedos, zoofilos, necrofilos ou a outras parafilias, mas claro que os liberais, nem tão ai para isso só querem arregrar o cu para o dinheiro 	1
2009	1511043734892331016	mais de 100 páginas pra ler hoje de uma só disciplina nao foi isso que eu pedi quando pedi pra entrar na faculdade 	0
3283	1511037638492438529	acho que eu nunca fiquei tão rouca igual nessas últimas semanas 	0
2125	1511036113242279947	Sensibilidade e respeito. #DitaduraNuncaMais #vivaademocracia 	1
2137	1511033983865401359	anitta está erradíssima, no momento eu só quero dinheiro e viajar 	0
794	1511118225299410950	Putin &amp; Co. num Tribunal Especial de crimes de guerra, como o dos dirigentes nazis em Nuremberga e do ex-presidente sérvio Slobodan Milosevic. 	1
1533	1511044796328165385	1- Murilo Huff 🍸 2- Zaida H.🥃 3- Léo Mendonça Huff 😸 4- 14 de outubfo de 1995 🙏 5- 26 💚 6- Goiânia 🚜 7- Direito⚖️ 8- composção: Modão Doído 📝 Cantando: Dois Enganados 🎼🔊 	0
3194	1511043064319688713	Isso é uma rola de respeito 	0
1948	1408060864398180000	s3 de sex education em setembro ufa finalmente ta vindo ai	0
942	1511040629664587787	espécie peculiar, o homo sovieticus. Tenho a impressão de que conheço essa pessoa muito bem, eu estou junto dela, vivi ao lado dela por muitos anos. Ela sou eu. São meus conhecidos, meus amigos, meus pais. Durante anos, viajei por toda a antiga União Soviética — porque o homo + 	0
1358	1511031711446016008	Eu digo quando não existe reciprocidade, respeito e muito mais em um grupo é difícil se dar bem com todos, pois onde habita, inveja, raiva, desunião, soberba não tem como as coisas darem certo por completo. Sempre ouvi dizer que inveja estraga tudo, seja amizade, relação etc. 	1
1376	1511029507729371143	Hoje ocorreu um pequeno acidente comigo na academia por falta de atenção de um coleguinha, estou sentindo uma dor surreal na minha canela depois que o sangue esfriou. 😵‍💫 	0
2807	1511121700678742018	é muito ruim você sentir que n tem reciprocidade em uma amizade que vc valoriza muito. 	1
2857	1511116250281349122	Odeio ficar tensa pq se eu respiro fundo eu sinto dor não dá pra relaxar nessa casa 	0
1497	1511036415240515587	PORRA CADÊ AS MINHAS AMIGAS EU PRECISO GRITAR 	0
1419	1511116121688231941	Furei meu peito.. doeu muitooo kkkk 	0
2640	1511116963594084358	Estamos de olho!!!! 	0
3567	1511032794939547651	Você ver quando a pessoa é mau caráter quando defende um marmanjo covarde desse 	0
3266	1511035568867758092	Programador que não lê manual SEMPRE estará desesperado por conta do prazo de entrega.  Dominar a linguagem e a ferramenta que utiliza é fundamental, amigos. 	0
1065	1408097721622350000	lindo  bebe anjo docinho cheiro de talco nosso bebezinho quem nao gosta tem inveja pq queria ser lindo rico e talentoso mas é só um feio pobre falando merda na net	1
3022	1511034736730324994	nunca mais terei uma refeição decente 	0
3901	1511039385654992897	Tô totalmente Boriczada, meus amigos 	0
2617	1511116173710086149	Aí vem a Secretaria de Justiça de S. Paulo confrontar o ex ministro Tarcísio “Se eu tivesse absolvido Fernandinho Beira-mar eu não teria sido punida” : Juíza que absolveu PMs em legítima defesa e foi obrigada a se aposentar dispara. 	1,1
2433	1511032611480743941	que dia bosta 	0
3826	1511040988239872012	minha aula foi cancelada hoje 🙏🙏 (vai fazer falta mas a minha voz foi embora 	0
3131	1511032490621911045	Gente me perdoem se eu estiver errada mas vocês podem colocar aqui algum tweet ou vídeo de algum jogador falando que a gente já era campeão? Que raça imunda, vão comemorar o título de vocês. Quem está por dentro da torcida sabe que NUNCA existiu isso, não contamos vitória. 	1
980	1511034833014870017	mlk eu vi o gabriel monteiro fazendo sexo eu vou me mat4 	1
2847	1511037919057883138	'de fosse para os seus amigos você conseguiria' 	0
2805	1511113836044197901	n to conseguindo acreditar mt bem ainda sono pra caralho,sem nem pensar mt bem nas coisas tudo que eu mais queria era um abraço muito forte agr 	0
748	1511038960243458061	seus favs cometeram crimes muito sérios e vc me vem falar que fumar cigarro é crime KKKKKKKK imagina ser burra assim 	1
3470	1511115627678908417	qq esse povo tao falando que o paggau tava certo vsf mlk escroto demais mano tadinha da belle 	1
3872	1511115545957085186	amor eu sou assim 	0
546	1511122347583025154	o bom de ser artista é poder dar telinhas de presente de aniversário 	1
615	1511116443609358340	tenho pavor de quem cobra atenção imediata. nem tenho intimidade com a pessoa e ela me mandando “????” pq ainda não respondi, por favor né amigo se de o respeito 	0
1815	1511121060435054601	Exatamente 	0
138	1511114369211449347	lixo vermes imundos vocês não representa a torcida, a torcida no Maracanã deveria tirar vocês da arquibancada a base da porrada, vendidos vagabundos 	1
3709	1511115326049689606	Kelvin me contou sobre o clube da ufmg. Eu amei, já quero. Já me vejo indo relaxar lá, plena, como se não houvesse amanhã ou pedindo pras águas me levar de uma vez. 	0
49	1511121695725260809	Gente, sabem o que é melhor que um quarto secreto? Uma casa de vidro: todas as informações que o quarto dá + opinião do público. Não aproveitou direito na primeira e vocês INSISTEM que agora vai #BBB22 	0
1077	1511117708645044234	tacar qboa (água sanitária) em tudo 💋 	1
333	1511113891203403776	O simbolismo do ato foi um pedido de perdão pela longa e imoral postura de racismo dos grupos. Pastores das Assembleias de Deus, da Igreja de Deus em Cristo, e de outras denominações, choraram pediram perdão mútuo. 	1
3464	1511032885075136517	Canalhas! 	0
2258	1511031876487680002	ja fiz o pedido de isenção do enem tbm se n conseguir nem vou fazer essa merda 	0
3765	1511115456798765063	a justiça divina tarda mas não falha ainda vamos ter dias de glória 	1
1386	1511116011134763009	só quero o braço e o carinho dela, não tô mais aguentando 	0
2039	1511117078488653829	Tudo da errado 😭😭😭 	0
3492	1511031172633141251	sou exatamente eu 	0
467	1511031435725053956	fonte: cismei e não errei 	0
4302	1511120821481312259	Se eu ficar mais 5 minutos na academia eu vou ter um surto de julgamento vou pro vestiário ficar sentada 	0
276	1511041015532208135	Pq é tudo quase igual? 	0
2535	1511036562405998593	Amigos nerds e otakus, devo ler primeiro o manga de Berserk ou assistir o anime??? 	0
22	1511037363421696000	a luna foi chamada de banguela a infância dela toda #BullyingNaoEBrincadeira 	1
3744	1511121801845301248	ta, mas vc me elogiou no vôlei?? 💍💍💍💍💍💍 	0
4300	1511028711507861506	pelo amor de deus !!!!!!!! 	0
1666	1511040152319270921	Desse jeito 	0
521	1511030721003106305	covardia  maior injustiça 	1
2301	1511043539844616193	minha mente está em estado de calamidade pública 	0
1248	1511042343339794437	bons tempos antigos em que o sco0ter ficava caladinho pagando de bom pai-empresário, conheço esse malandro não é de hj 	0
578	1511034010931191811	acho tão ruim filme que só fala de sexo 	0
2979	1511114175199825920	Ai gente que mais vai surgir pra me abalar 	0
3975	1511118239224508420	Um GRAAAANDE merda 	0
1387	1511122436787523586	minhas vingadoras macetando o falido mg 	0
1974	1511119447565778951	QUEM MANDOU MATAR MARIELLE? Foi um mostro sem coração e que todos nós  sabemos inclusive a justiça;não podemos  esquecer jamais,que esse mostro perca o fórum privilegiado para que seja feita justiça de fato.Mais como Diz Nossa maravilhosa Dilma não ficará pedra sobre pedra.(fato) 	1
3449	1511119000964636676	ficava com ciúme dos meus amigos, falava que queria que eu me apaixonasse por ele, falava que uma menina igual eu nunca ia dar olhos pra ele, pra você falar de mim nas minhas costas seu pau no cu 	1
